latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.809,-0.252,300.3,2.6,1.6,2019-10-18,01:20,A,24,6.0NRT,287.4,24.4,N
48.282,14.331,300.7,1,1,2019-10-18,01:20,A,32,6.0NRT,280.6,8,N
51.363,6.71,303.2,1.6,1.3,2019-10-18,01:20,A,54,6.0NRT,282.1,17.1,N
51.487,6.718,309.1,1.6,1.3,2019-10-18,01:20,A,76,6.0NRT,283.4,23.9,N
51.496,6.744,313.4,1.6,1.3,2019-10-18,01:20,A,79,6.0NRT,282.9,28.6,N
51.389,34.014,305.2,1.1,1,2019-10-18,09:05,T,42,6.0NRT,290.8,4.4,D
51.272,33.999,313.9,1.1,1,2019-10-18,09:05,T,64,6.0NRT,290.2,11.5,D
51.263,33.995,317.5,1.1,1,2019-10-18,09:05,T,78,6.0NRT,292.3,15.2,D
50.887,33.824,316.1,1.1,1,2019-10-18,09:05,T,76,6.0NRT,292.2,13.6,D
50.884,33.839,330,1.1,1,2019-10-18,09:05,T,86,6.0NRT,292,30,D
50.878,33.82,304.2,1.1,1,2019-10-18,09:05,T,24,6.0NRT,291.2,4.5,D
50.875,33.835,320.8,1.1,1,2019-10-18,09:05,T,80,6.0NRT,291.1,19.2,D
50.862,32.631,305.5,1,1,2019-10-18,09:05,T,48,6.0NRT,291.6,4.7,D
50.572,34.237,309.9,1.1,1.1,2019-10-18,09:05,T,67,6.0NRT,293.7,8.4,D
50.511,33.992,308.6,1.1,1,2019-10-18,09:05,T,65,6.0NRT,294.9,6.7,D
50.032,34.236,304.3,1.1,1.1,2019-10-18,09:05,T,51,6.0NRT,293.6,3.4,D
49.781,32.267,315.8,1,1,2019-10-18,09:05,T,73,6.0NRT,296,10.6,D
50,30.418,306.9,1,1,2019-10-18,09:05,T,58,6.0NRT,294.7,4.1,D
51.743,34.589,301.4,1.1,1,2019-10-18,09:05,T,44,6.0NRT,290.4,3.9,D
52.75,26.691,300.2,1.3,1.1,2019-10-18,09:05,T,32,6.0NRT,287.9,6.3,D
51.795,33.681,309.2,1,1,2019-10-18,09:05,T,68,6.0NRT,290.8,9,D
51.398,34.018,309.4,1.1,1,2019-10-18,09:05,T,69,6.0NRT,293.5,7.8,D
48.709,33.33,308.6,1.1,1.1,2019-10-18,09:05,T,63,6.0NRT,297.2,7,D
49.659,26.942,326,1.2,1.1,2019-10-18,09:05,T,84,6.0NRT,293.8,27.6,D
49.334,30.772,308.1,1,1,2019-10-18,09:05,T,61,6.0NRT,295.6,4,D
49.252,31.428,311,1,1,2019-10-18,09:05,T,67,6.0NRT,294.6,8,D
49.618,28.978,308.3,1,1,2019-10-18,09:05,T,62,6.0NRT,293.7,6,D
49.641,29.079,308.2,1,1,2019-10-18,09:05,T,62,6.0NRT,292.9,6.3,D
49.643,29.065,307,1,1,2019-10-18,09:05,T,59,6.0NRT,293.8,5.3,D
49.441,30.559,307.7,1,1,2019-10-18,09:05,T,61,6.0NRT,296.2,4.2,D
49.387,31.039,322.5,1,1,2019-10-18,09:05,T,80,6.0NRT,295.1,17.6,D
49.389,31.025,327,1,1,2019-10-18,09:05,T,84,6.0NRT,294.9,23,D
49.474,30.457,306,1,1,2019-10-18,09:05,T,41,6.0NRT,295.1,2.7,D
49.592,30.667,306.3,1,1,2019-10-18,09:05,T,57,6.0NRT,296,5.3,D
49.454,31.68,307.4,1,1,2019-10-18,09:05,T,45,6.0NRT,292.8,6,D
49.782,29.6,310.5,1,1,2019-10-18,09:05,T,67,6.0NRT,294.2,8.2,D
49.784,29.587,310.1,1,1,2019-10-18,09:05,T,67,6.0NRT,292.7,8,D
49.039,35,307.9,1.3,1.1,2019-10-18,09:05,T,59,6.0NRT,295.6,7,D
49.445,33.044,308.3,1.1,1,2019-10-18,09:05,T,61,6.0NRT,295.5,5.6,D
49.615,32.361,306.1,1,1,2019-10-18,09:05,T,40,6.0NRT,295.3,4.5,D
49.875,30.699,321.8,1,1,2019-10-18,09:05,T,80,6.0NRT,298,15.8,D
49.885,30.631,312.8,1,1,2019-10-18,09:05,T,70,6.0NRT,296.5,7.6,D
49.894,30.634,310.1,1,1,2019-10-18,09:05,T,56,6.0NRT,295.3,5.3,D
50.123,29.41,306.5,1,1,2019-10-18,09:05,T,57,6.0NRT,292.3,5.8,D
51.914,34.033,312.3,1.1,1,2019-10-18,09:05,T,72,6.0NRT,291.1,11.9,D
